,GAME_ID,HOME_PCT,VISITOR_PCT
198,21500199,0.58808,0.41192
199,21500200,0.58808,0.41192
200,21500201,0.58808,0.41192
201,21500202,0.61352,0.38648
202,21500203,0.58808,0.41192
203,21500204,0.58808,0.41192
204,21500205,0.58808,0.41192
205,21500206,0.58808,0.41192
206,21500207,0.58808,0.41192
207,21500208,0.61352,0.38648
208,21500209,0.61352,0.38648
209,21500210,0.58808,0.41192
210,21500211,0.61352,0.38648
211,21500212,0.61352,0.38648
212,21500213,0.58808,0.41192
213,21500214,0.61352,0.38648
214,21500215,0.58808,0.41192
215,21500216,0.61352,0.38648
216,21500217,0.61352,0.38648
217,21500218,0.58808,0.41192
218,21500219,0.61352,0.38648
219,21500220,0.58808,0.41192
220,21500221,0.58808,0.41192
221,21500222,0.58808,0.41192
222,21500223,0.61352,0.38648
223,21500224,0.61352,0.38648
224,21500225,0.61352,0.38648
225,21500226,0.61352,0.38648
226,21500227,0.61352,0.38648
227,21500228,0.61352,0.38648
228,21500229,0.58808,0.41192
229,21500230,0.58808,0.41192
230,21500231,0.61352,0.38648
231,21500232,0.58808,0.41192
232,21500233,0.61352,0.38648
233,21500234,0.61352,0.38648
234,21500235,0.58808,0.41192
235,21500236,0.58808,0.41192
236,21500237,0.61352,0.38648
237,21500238,0.61352,0.38648
238,21500239,0.61352,0.38648
239,21500240,0.58808,0.41192
240,21500241,0.61352,0.38648
241,21500242,0.61352,0.38648
242,21500243,0.58808,0.41192
243,21500244,0.61352,0.38648
244,21500245,0.61352,0.38648
245,21500246,0.58808,0.41192
246,21500247,0.61352,0.38648
247,21500248,0.58808,0.41192
248,21500249,0.58808,0.41192
249,21500250,0.61352,0.38648
250,21500251,0.58808,0.41192
251,21500252,0.58808,0.41192
252,21500253,0.61352,0.38648
253,21500254,0.61352,0.38648
254,21500255,0.61352,0.38648
255,21500256,0.61352,0.38648
256,21500257,0.58808,0.41192
257,21500258,0.61352,0.38648
258,21500259,0.61352,0.38648
259,21500260,0.58808,0.41192
260,21500261,0.61352,0.38648
261,21500262,0.58808,0.41192
262,21500263,0.58808,0.41192
263,21500264,0.61352,0.38648
