,GAME_ID,QTR_HOME_FG,QTR_HOME_FG_MISSES,QTR_HOME_FG_PCT,QTR_HOME_REBOUNDS,QTR_VISITING_FG,QTR_VISITING_FG_PCT,QTR_VISITING_MISSES,QTR_VISITING_REBOUNDS
0,21500001,11,13,0.458333333333,13,10,0.5,10,9
1,21500002,7,13,0.35,10,7,0.304347826087,16,15
2,21500003,15,11,0.576923076923,11,11,0.611111111111,7,6
3,21500004,11,10,0.52380952381,10,11,0.5,11,11
4,21500005,7,15,0.318181818182,10,11,0.458333333333,13,15
5,21500006,7,12,0.368421052632,7,13,0.541666666667,11,14
6,21500007,5,15,0.25,13,7,0.35,13,13
7,21500008,7,9,0.4375,10,11,0.5,11,9
8,21500009,6,12,0.333333333333,10,10,0.47619047619,11,10
9,21500010,5,17,0.227272727273,7,10,0.588235294118,7,15
10,21500011,4,17,0.190476190476,10,10,0.5,10,15
11,21500012,8,16,0.333333333333,15,7,0.35,13,11
12,21500013,11,12,0.478260869565,12,10,0.454545454545,12,9
13,21500014,7,11,0.388888888889,12,5,0.3125,11,10
14,21500015,10,10,0.5,15,6,0.285714285714,15,9
15,21500016,7,11,0.388888888889,10,10,0.555555555556,8,11
16,21500017,8,14,0.363636363636,15,7,0.318181818182,15,9
17,21500018,4,15,0.210526315789,10,11,0.55,9,13
18,21500019,7,14,0.333333333333,11,12,0.545454545455,10,11
19,21500020,7,10,0.411764705882,13,6,0.285714285714,15,10
20,21500021,10,13,0.434782608696,14,9,0.473684210526,10,10
21,21500022,15,6,0.714285714286,5,11,0.5,11,10
22,21500023,6,8,0.428571428571,7,6,0.352941176471,11,9
23,21500024,7,13,0.35,9,6,0.315789473684,13,15
24,21500025,7,16,0.304347826087,12,8,0.380952380952,13,15
25,21500026,9,11,0.45,12,9,0.391304347826,14,13
26,21500027,11,7,0.611111111111,13,5,0.277777777778,13,7
27,21500028,9,16,0.36,14,12,0.5,12,13
28,21500029,8,15,0.347826086957,11,8,0.444444444444,10,12
29,21500030,7,9,0.4375,12,6,0.352941176471,11,6
30,21500031,14,7,0.666666666667,15,6,0.333333333333,12,5
31,21500032,10,8,0.555555555556,13,9,0.391304347826,14,11
32,21500033,9,7,0.5625,7,10,0.434782608696,13,12
33,21500034,9,12,0.428571428571,11,8,0.444444444444,10,8
34,21500035,9,14,0.391304347826,8,9,0.642857142857,5,8
35,21500036,9,8,0.529411764706,6,9,0.642857142857,5,7
36,21500037,8,12,0.4,13,10,0.416666666667,14,12
37,21500038,9,7,0.5625,8,10,0.434782608696,13,13
38,21500039,7,15,0.318181818182,13,14,0.518518518519,13,11
39,21500040,6,17,0.260869565217,10,10,0.5,10,12
40,21500041,8,13,0.380952380952,12,12,0.571428571429,9,7
