,GAME_ID,HOME_WIN_PCT
289,21500290,0.61352
290,21500291,0.58808
291,21500292,0.61352
292,21500293,0.61352
293,21500294,0.58808
294,21500295,0.61352
295,21500296,0.58808
296,21500297,0.58808
297,21500298,0.58808
298,21500299,0.61352
299,21500300,0.61352
300,21500301,0.61352
301,21500302,0.58808
302,21500303,0.61352
303,21500304,0.58808
304,21500305,0.58808
305,21500306,0.61352
306,21500307,0.61352
307,21500308,0.61352
308,21500309,0.58808
309,21500310,0.58808
310,21500311,0.58808
311,21500312,0.61352
312,21500313,0.61352
313,21500314,0.58808
314,21500315,0.58808
315,21500316,0.58808
316,21500317,0.58808
317,21500318,0.58808
318,21500319,0.61352
319,21500320,0.61352
320,21500321,0.61352
321,21500322,0.61352
322,21500323,0.58808
323,21500324,0.58808
324,21500325,0.61352
325,21500326,0.58808
326,21500327,0.58808
327,21500328,0.61352
328,21500329,0.61352
329,21500330,0.58808
330,21500331,0.61352
331,21500332,0.58808
332,21500333,0.61352
333,21500334,0.58808
334,21500335,0.58808
335,21500336,0.58808
336,21500337,0.61352
337,21500338,0.61352
338,21500339,0.58808
339,21500340,0.61352
340,21500341,0.58808
341,21500342,0.61352
342,21500343,0.61352
343,21500344,0.58808
344,21500345,0.58808
345,21500346,0.61352
346,21500347,0.61352
347,21500348,0.61352
348,21500349,0.58808
349,21500350,0.58808
350,21500351,0.61352
351,21500352,0.58808
352,21500353,0.61352
353,21500354,0.58808
354,21500355,0.61352
355,21500356,0.58808
356,21500357,0.61352
357,21500358,0.61352
358,21500359,0.61352
359,21500360,0.61352
360,21500361,0.61352
361,21500362,0.58808
362,21500363,0.61352
363,21500364,0.61352
364,21500365,0.58808
365,21500366,0.61352
366,21500367,0.61352
367,21500368,0.58808
368,21500369,0.58808
369,21500370,0.58808
370,21500371,0.58808
371,21500372,0.61352
372,21500373,0.61352
373,21500374,0.58808
374,21500375,0.61352
375,21500376,0.61352
376,21500377,0.61352
377,21500378,0.61352
378,21500379,0.61352
379,21500380,0.58808
380,21500381,0.58808
381,21500382,0.61352
382,21500383,0.58808
383,21500384,0.58808
384,21500385,0.58808
385,21500386,0.61352
386,21500387,0.61352
387,21500388,0.61352
388,21500389,0.58808
389,21500390,0.61352
390,21500391,0.61352
391,21500392,0.61352
392,21500393,0.58808
393,21500394,0.58808
394,21500395,0.61352
395,21500396,0.58808
396,21500397,0.61352
397,21500398,0.61352
398,21500399,0.61352
399,21500400,0.58808
400,21500401,0.61352
401,21500402,0.61352
402,21500403,0.58808
403,21500404,0.61352
404,21500405,0.58808
405,21500406,0.58808
406,21500407,0.58808
407,21500408,0.61352
408,21500409,0.58808
409,21500410,0.61352
410,21500411,0.58808
411,21500412,0.58808
412,21500413,0.61352
413,21500414,0.58808
414,21500415,0.61352
415,21500416,0.61352
416,21500417,0.58808
417,21500418,0.58808
418,21500419,0.58808
419,21500420,0.61352
420,21500421,0.61352
421,21500422,0.58808
422,21500423,0.61352
423,21500424,0.61352
424,21500425,0.61352
425,21500426,0.58808
426,21500427,0.58808
427,21500428,0.61352
428,21500429,0.61352
429,21500430,0.61352
430,21500431,0.58808
431,21500432,0.61352
432,21500433,0.61352
433,21500434,0.58808
434,21500435,0.58808
435,21500436,0.61352
436,21500437,0.58808
437,21500438,0.58808
438,21500439,0.58808
439,21500440,0.61352
440,21500441,0.58808
441,21500442,0.58808
442,21500443,0.61352
443,21500444,0.58808
444,21500445,0.58808
445,21500446,0.61352
446,21500447,0.61352
447,21500448,0.61352
448,21500449,0.58808
449,21500450,0.61352
450,21500451,0.61352
451,21500452,0.58808
452,21500453,0.61352
453,21500454,0.58808
454,21500455,0.61352
455,21500456,0.58808
456,21500457,0.61352
457,21500458,0.58808
458,21500459,0.61352
459,21500460,0.61352
460,21500461,0.61352
461,21500462,0.58808
462,21500463,0.58808
463,21500464,0.61352
464,21500465,0.58808
465,21500466,0.61352
466,21500467,0.58808
467,21500468,0.61352
468,21500469,0.58808
469,21500470,0.61352
470,21500471,0.61352
471,21500472,0.61352
472,21500473,0.61352
473,21500474,0.58808
474,21500475,0.58808
475,21500476,0.61352
476,21500477,0.61352
477,21500478,0.58808
