,DATE,GAME_ID,HOME_TEAM_ID,HOME_TEAM,HOME_TEAM_W_L,HOME_QTR1,HOME_QTR2,HOME_QTR3,HOME_QTR4,HOME_OT1,HOME_OT2,HOME_OT3,HOME_OT4,HOME_PTS,AWAY_TEAM_ID,AWAY_TEAM,AWAY_TEAM_W_L,AWAY_QTR1,AWAY_QTR2,AWAY_QTR3,AWAY_QTR4,AWAY_OT1,AWAY_OT2,AWAY_OT3,AWAY_OT4,AWAY_PTS
36,2015-10-31T00:00:00,21500037,1610612757,POR,1-2,23,25,23,19,0,0,0,0,90,1610612756,PHX,2-1,27,29,18,27,0,0,0,0,101
37,2015-10-31T00:00:00,21500038,1610612746,LAC,3-0,24,35,24,31,0,0,0,0,114,1610612758,SAC,1-2,31,24,24,30,0,0,0,0,109
38,2015-11-01T00:00:00,21500039,1610612766,CHA,0-3,18,21,37,16,0,0,0,0,92,1610612737,ATL,3-1,28,18,24,24,0,0,0,0,94
39,2015-11-01T00:00:00,21500040,1610612738,BOS,1-2,13,18,23,33,0,0,0,0,87,1610612759,SAS,2-1,23,21,20,31,0,0,0,0,95
40,2015-11-01T00:00:00,21500041,1610612748,MIA,2-1,30,14,31,34,0,0,0,0,109,1610612745,HOU,0-3,35,28,12,14,0,0,0,0,89
41,2015-11-01T00:00:00,21500042,1610612761,TOR,3-0,24,31,26,25,0,0,0,0,106,1610612749,MIL,0-3,19,22,30,16,0,0,0,0,87
42,2015-11-01T00:00:00,21500043,1610612741,CHI,3-1,29,25,21,17,0,0,0,0,92,1610612753,ORL,0-3,26,14,23,24,0,0,0,0,87
43,2015-11-01T00:00:00,21500044,1610612760,OKC,3-0,29,29,37,22,0,0,0,0,117,1610612743,DEN,1-2,22,28,20,23,0,0,0,0,93
44,2015-11-01T00:00:00,21500045,1610612747,LAL,0-3,21,24,19,29,0,0,0,0,93,1610612742,DAL,2-1,32,22,27,22,0,0,0,0,103
45,2015-11-02T00:00:00,21500046,1610612755,PHI,0-3,32,22,18,28,0,0,0,0,100,1610612739,CLE,3-1,18,31,33,25,0,0,0,0,107
46,2015-11-02T00:00:00,21500047,1610612751,BKN,0-4,33,15,32,16,0,0,0,0,96,1610612749,MIL,1-3,33,26,21,23,0,0,0,0,103
47,2015-11-02T00:00:00,21500048,1610612752,NYK,2-2,21,14,30,19,0,0,0,0,84,1610612759,SAS,3-1,18,29,23,24,0,0,0,0,94
48,2015-11-02T00:00:00,21500049,1610612745,HOU,1-3,21,33,28,28,0,0,0,0,110,1610612760,OKC,3-1,26,39,14,26,0,0,0,0,105
49,2015-11-02T00:00:00,21500050,1610612750,MIN,2-1,34,19,27,21,0,0,0,0,101,1610612757,POR,2-2,21,32,30,23,0,0,0,0,106
50,2015-11-02T00:00:00,21500051,1610612744,GSW,4-0,21,32,40,26,0,0,0,0,119,1610612763,MEM,2-2,22,12,15,20,0,0,0,0,69
51,2015-11-02T00:00:00,21500052,1610612746,LAC,4-0,22,26,27,27,0,0,0,0,102,1610612756,PHX,2-2,23,16,33,24,0,0,0,0,96
52,2015-11-03T00:00:00,21500053,1610612766,CHA,1-3,37,32,31,30,0,0,0,0,130,1610612741,CHI,3-2,20,27,30,28,0,0,0,0,105
53,2015-11-03T00:00:00,21500054,1610612765,DET,3-1,30,17,20,15,0,0,0,0,82,1610612754,IND,1-3,24,35,26,9,0,0,0,0,94
54,2015-11-03T00:00:00,21500055,1610612748,MIA,2-2,24,16,25,27,0,0,0,0,92,1610612737,ATL,4-1,25,26,28,19,0,0,0,0,98
55,2015-11-03T00:00:00,21500056,1610612740,NOP,0-4,17,26,26,25,0,0,0,0,94,1610612753,ORL,1-3,28,29,21,25,0,0,0,0,103
56,2015-11-03T00:00:00,21500057,1610612742,DAL,2-2,25,26,22,18,0,0,0,0,91,1610612761,TOR,4-0,31,18,25,28,0,0,0,0,102
57,2015-11-03T00:00:00,21500058,1610612758,SAC,1-3,29,11,27,22,0,0,0,0,89,1610612763,MEM,3-2,25,25,33,20,0,0,0,0,103
58,2015-11-03T00:00:00,21500059,1610612747,LAL,0-4,36,21,26,26,0,0,0,0,109,1610612743,DEN,2-2,30,30,33,27,0,0,0,0,120
59,2015-11-04T00:00:00,21500060,1610612754,IND,2-3,23,26,24,27,0,0,0,0,100,1610612738,BOS,1-3,16,27,29,26,0,0,0,0,98
60,2015-11-04T00:00:00,21500061,1610612764,WAS,3-1,22,25,19,36,0,0,0,0,102,1610612759,SAS,3-2,23,28,22,26,0,0,0,0,99
61,2015-11-04T00:00:00,21500062,1610612737,ATL,5-1,23,18,31,29,0,0,0,0,101,1610612751,BKN,0-5,17,26,27,17,0,0,0,0,87
62,2015-11-04T00:00:00,21500063,1610612739,CLE,4-1,18,20,32,26,0,0,0,0,96,1610612752,NYK,2-3,32,14,23,17,0,0,0,0,86
63,2015-11-04T00:00:00,21500064,1610612745,HOU,2-3,34,34,22,20,9,0,0,0,119,1610612753,ORL,1-4,35,24,29,22,4,0,0,0,114
64,2015-11-04T00:00:00,21500065,1610612749,MIL,2-3,29,18,21,23,0,0,0,0,91,1610612755,PHI,0-4,21,24,22,20,0,0,0,0,87
65,2015-11-04T00:00:00,21500066,1610612760,OKC,3-2,23,16,42,17,0,0,0,0,98,1610612761,TOR,5-0,13,27,33,30,0,0,0,0,103
66,2015-11-04T00:00:00,21500067,1610612756,PHX,3-2,28,21,32,37,0,0,0,0,118,1610612758,SAC,1-4,18,22,29,28,0,0,0,0,97
67,2015-11-04T00:00:00,21500068,1610612762,UTA,2-2,26,23,19,24,0,0,0,0,92,1610612757,POR,3-2,27,30,19,32,0,0,0,0,108
68,2015-11-04T00:00:00,21500069,1610612744,GSW,5-0,31,32,19,30,0,0,0,0,112,1610612746,LAC,4-1,25,31,27,25,0,0,0,0,108
69,2015-11-05T00:00:00,21500070,1610612741,CHI,4-2,25,32,19,28,0,0,0,0,104,1610612760,OKC,3-3,28,22,23,25,0,0,0,0,98
70,2015-11-05T00:00:00,21500071,1610612750,MIN,2-2,15,24,22,23,0,0,0,0,84,1610612748,MIA,3-2,22,27,24,23,0,0,0,0,96
71,2015-11-05T00:00:00,21500072,1610612742,DAL,2-3,23,30,14,27,0,0,0,0,94,1610612766,CHA,2-3,27,27,24,30,0,0,0,0,108
72,2015-11-05T00:00:00,21500073,1610612743,DEN,2-3,24,18,22,20,0,0,0,0,84,1610612762,UTA,3-2,19,21,25,31,0,0,0,0,96
73,2015-11-05T00:00:00,21500074,1610612757,POR,4-2,18,32,40,25,0,0,0,0,115,1610612763,MEM,3-3,23,23,25,25,0,0,0,0,96
74,2015-11-06T00:00:00,21500075,1610612753,ORL,2-4,21,24,19,28,0,0,0,0,92,1610612761,TOR,5-1,15,21,33,18,0,0,0,0,87
75,2015-11-06T00:00:00,21500076,1610612738,BOS,2-3,40,32,28,18,0,0,0,0,118,1610612764,WAS,3-2,25,24,25,24,0,0,0,0,98
76,2015-11-06T00:00:00,21500077,1610612751,BKN,0-6,27,20,25,26,0,0,0,0,98,1610612747,LAL,1-4,18,34,27,25,0,0,0,0,104
77,2015-11-06T00:00:00,21500078,1610612739,CLE,5-1,28,21,32,27,0,0,0,0,108,1610612755,PHI,0-5,25,25,23,29,0,0,0,0,102
78,2015-11-06T00:00:00,21500079,1610612752,NYK,2-4,20,33,20,19,0,0,0,0,92,1610612749,MIL,3-3,30,26,19,24,0,0,0,0,99
79,2015-11-06T00:00:00,21500080,1610612754,IND,3-3,16,33,22,19,0,0,0,0,90,1610612748,MIA,3-3,26,23,19,19,0,0,0,0,87
80,2015-11-06T00:00:00,21500081,1610612740,NOP,0-5,28,19,32,36,0,0,0,0,115,1610612737,ATL,6-1,26,32,31,32,0,0,0,0,121
