,DATE,GAME_ID,HOME_TEAM_ID,HOME_TEAM,HOME_TEAM_W_L,HOME_QTR1,HOME_QTR2,HOME_QTR3,HOME_QTR4,HOME_OT1,HOME_OT2,HOME_OT3,HOME_OT4,HOME_PTS,AWAY_TEAM_ID,AWAY_TEAM,AWAY_TEAM_W_L,AWAY_QTR1,AWAY_QTR2,AWAY_QTR3,AWAY_QTR4,AWAY_OT1,AWAY_OT2,AWAY_OT3,AWAY_OT4,AWAY_PTS,MOV,QTR1_MOV,QTR2_MOV,QTR3_MOV,HOME_HALFTIME,AWAY_HALFTIME,HALFTIME_MOV,HALFTIME_HOME_FG,HALFTIME_HOME_FG_MISSES,HALFTIME_HOME_FG_PCT,HALFTIME_HOME_REBOUNDS,HALFTIME_VISITING_FG,HALFTIME_VISITING_FG_PCT,HALFTIME_VISITING_MISSES,HALFTIME_VISITING_REBOUNDS,HALFTIME_FG_DIFF,HALFTIME_REBOUNDS_DIFF
21,2015-10-30,21500022,1610612753,ORL,0-2,35,32,26,24,9,10,0,0,136,1610612760,OKC,2-0,31,22,22,42,9,13,0,0,139,-3,4,10,4,67,53,14,46,59,0.438095238095,49,49,0.449541284404,60,62,-0.011446046309,-13
22,2015-10-30,21500023,1610612755,PHI,0-2,19,14,20,18,0,0,0,0,71,1610612762,UTA,1-1,28,22,24,25,0,0,0,0,99,-28,-9,-8,-4,33,50,-17,19,44,0.301587301587,39,34,0.395348837209,52,51,-0.093761535622,-12
23,2015-10-30,21500024,1610612738,BOS,1-1,26,28,21,28,0,0,0,0,103,1610612761,TOR,2-0,26,28,30,29,0,0,0,0,113,-10,0,0,-9,54,54,0,32,53,0.376470588235,38,32,0.410256410256,46,53,-0.033785822021,-15
24,2015-10-30,21500025,1610612765,DET,3-0,23,12,29,19,15,0,0,0,98,1610612741,CHI,2-1,19,20,25,19,11,0,0,0,94,4,4,-8,4,35,39,-4,35,65,0.35,61,34,0.404761904762,50,50,-0.054761904762,11
25,2015-10-30,21500026,1610612737,ATL,2-1,29,24,23,21,0,0,0,0,97,1610612766,CHA,0-2,22,30,17,25,0,0,0,0,94,3,7,-6,6,53,52,1,36,47,0.433734939759,45,36,0.409090909091,52,54,0.024644030668,-9
26,2015-10-30,21500027,1610612749,MIL,0-2,33,32,27,21,0,0,0,0,113,1610612764,WAS,2-0,22,39,21,36,0,0,0,0,118,-5,11,-7,6,65,61,4,42,40,0.512195121951,32,35,0.514705882353,33,37,-0.002510760402,-5
27,2015-10-30,21500028,1610612759,SAS,1-1,25,17,34,26,0,0,0,0,102,1610612751,BKN,0-2,21,26,17,11,0,0,0,0,75,27,4,-9,17,42,47,-5,38,46,0.452380952381,56,30,0.394736842105,46,32,0.057644110276,24
28,2015-10-30,21500029,1610612743,DEN,1-1,16,23,24,15,0,0,0,0,78,1610612750,MIN,2-0,26,23,30,16,0,0,0,0,95,-17,-10,0,-6,39,49,-10,29,66,0.305263157895,51,30,0.422535211268,41,49,-0.117272053373,2
29,2015-10-30,21500030,1610612745,HOU,0-2,29,15,21,27,0,0,0,0,92,1610612744,GSW,2-0,30,27,24,31,0,0,0,0,112,-20,-1,-12,-3,44,57,-13,30,52,0.365853658537,49,42,0.45652173913,50,47,-0.090668080593,2
30,2015-10-30,21500031,1610612758,SAC,1-1,40,34,28,30,0,0,0,0,132,1610612747,LAL,0-2,24,26,33,31,0,0,0,0,114,18,16,8,-5,74,50,24,51,49,0.51,56,39,0.448275862069,48,37,0.061724137931,19
